국가,2018;국내총생산(GDP $),2019;국내총생산(GDP $),합계출산;2015,합계출산;2020,도시화율;2020,평균교육기간(년);2018,1인당 GNI(구매력환산기준 2011) (달러);2018,2020;연간 인구증가율,2020;0~14세 인구 구성비,2020;15~64세 인구 구성비,2020;65세이상 인구 구성비,학년전교육;남자,학년전교육;여자,학년전교육;합계,초등교육;남자,초등교육;여자,초등교육;합계,중등교육;남자,중등교육;여자,중등교육;합계,고등교육;남자,고등교육;여자,고등교육;합계,경제활동참여율;남자,경제활동참여율;여자
아프가니스탄,18353881129.525,19291104007.614,5.45,4.56,26.0,3.9,1746.0,2.304,41.823,55.528,2.649,,,,121.4,82.1,102.2,67.9,38.6,53.6,14.2,4.9,9.7,,
알바니아,15147020535.387,15286612572.69,1.71,1.62,62.1,10.1,12300.0,0.578,17.236,68.06,14.705,82.8,84.9,83.8,105.5,108.9,107.0,95.8,94.7,95.3,45.7,69.8,57.4,64.392,46.603
알제리,175414987760.927,171157803367.473,2.96,3.05,73.7,8.0,13639.0,1.837,30.784,62.474,6.743,,,,114.5,108.9,111.8,,,,38.4,57.2,47.6,67.034,14.556
미국령사모아,641000000.0,638000000.0,,,,,,0.208,,,,,,,,,,,,,,,,,
안도라,3218316013.226,3155065487.518,,,87.9,10.2,48641.0,0.154,,,,,,,,,,,,,,,,,
앙골라,101353230784.594,89417190341.253,6.0,5.55,66.8,5.1,5555.0,3.219,46.395,51.413,2.191,,,,,,,,,,,,,78.831,76.116
앤티가바부다,1605351851.852,1661962962.963,2.0,2.0,24.4,9.3,22201.0,0.834,21.851,68.817,9.332,68.9,76.5,72.7,104.5,102.8,103.7,110.7,107.7,109.2,,,,,
아르헨티나,517626700412.885,445445177459.453,2.33,2.27,92.1,10.6,17611.0,0.97,24.435,64.198,11.367,75.6,76.6,76.1,109.9,109.6,109.7,106.5,111.0,108.7,67.8,112.8,90.0,72.652,50.615
아르메니아,12457941907.033,13672802157.832,1.72,1.76,63.3,11.8,9277.0,0.186,20.832,67.365,11.803,48.4,53.1,50.6,93.9,94.2,94.1,81.7,84.8,83.2,46.1,58.7,52.3,,
아루바,3202188606.929,,1.8,1.9,,,,0.428,17.382,68.012,14.606,,,,,,,,,,,,,,
오스트레일리아,1432881172002.17,1396567014733.23,1.89,1.83,86.2,12.7,44097.0,1.259,19.292,64.495,16.213,167.7,161.2,164.6,100.3,100.3,100.3,159.0,141.2,150.3,93.8,133.3,113.1,70.651,60.205
오스트리아,455094861902.062,445075391688.156,1.45,1.53,58.7,12.6,46231.0,0.419,14.412,66.384,19.204,104.9,103.8,104.4,103.2,103.0,103.1,102.5,98.3,100.5,78.1,92.5,85.1,66.422,55.044
아제르바이잔,47112941176.471,48174235294.118,2.09,2.08,56.4,10.5,15240.0,0.853,23.515,69.743,6.742,36.0,36.0,36.0,102.5,104.2,103.3,94.4,94.5,94.5,25.3,29.0,27.1,69.252,63.13
바하마,13022100000.0,13578800000.0,1.81,1.76,83.2,11.5,28395.0,0.961,21.601,70.651,7.748,31.7,39.0,35.3,81.6,81.2,81.4,78.5,80.2,79.4,,,,81.544,67.96
바레인,37652500000.0,38474521276.596,2.12,2.0,89.5,9.4,40399.0,3.615,18.282,79.066,2.651,54.3,54.6,54.4,101.4,101.0,101.2,100.5,104.1,102.2,34.0,64.3,47.1,87.179,45.035
방글라데시,274038973437.275,302563398919.928,2.21,2.05,38.2,6.1,4057.0,1.003,26.755,68.018,5.227,41.0,42.5,41.7,111.1,119.1,115.0,64.3,75.2,69.7,21.3,14.9,18.2,,
바베이도스,5086500000.0,5209000000.0,1.63,1.62,31.2,10.6,15912.0,0.122,16.76,66.537,16.702,87.9,91.1,89.5,99.5,96.0,97.8,104.2,108.6,106.3,,,,68.707,61.4
벨라루스,60031262269.337,64409647193.804,1.65,1.71,79.5,12.3,17039.0,0.202,17.24,67.179,15.58,99.9,96.4,98.2,102.2,101.7,102.0,104.3,102.7,103.5,79.1,98.3,88.5,71.331,57.307
벨기에,543676145773.882,533254518108.234,1.78,1.71,98.1,11.8,43821.0,0.582,17.034,63.712,19.254,115.3,115.0,115.1,103.9,104.0,103.9,149.7,167.8,158.5,69.3,90.5,79.7,58.425,48.534
벨리즈,1915899786.964,1982518540.613,2.58,2.32,46.0,9.8,7136.0,1.845,29.199,65.792,5.008,47.7,50.0,48.9,116.0,110.4,113.2,81.9,86.2,84.0,18.8,30.5,24.7,,
베냉,14250987026.053,14391686309.033,5.22,4.87,48.4,3.8,2135.0,2.692,41.945,54.777,3.278,25.0,25.9,25.5,130.8,122.3,126.6,,,,17.0,7.5,12.3,72.992,68.972
버뮤다,7224329000.0,7484113000.0,,,100.0,,,0.016,,,,,,,,,,,,,13.4,22.5,17.8,,
부탄,2446866404.931,2530547157.567,2.12,2.0,42.3,3.1,8609.0,1.11,24.895,68.901,6.205,28.2,29.8,29.0,101.4,101.3,101.3,83.2,92.8,87.9,15.6,15.5,15.6,,
볼리비아,40287647930.536,40895322850.941,3.05,2.75,70.1,9.0,6849.0,1.38,30.203,62.31,7.487,73.6,74.0,73.8,98.2,96.9,97.5,91.2,89.3,90.3,,,,80.423,62.981
보스니아-헤르체고비나,20183510561.255,20202479537.519,,,49.0,9.7,12690.0,0.613,14.522,67.562,17.916,,,,,,,,,,,,,57.719,35.205
보츠와나,18663265549.02,18362348887.587,3.01,2.89,70.9,9.3,15951.0,2.059,33.404,62.084,4.512,,,,,,,,,,20.5,29.2,24.9,,
브라질,1916947014067.55,1877810514260.36,1.77,1.74,87.1,7.8,14068.0,0.713,20.709,69.699,9.592,95.9,96.7,96.3,117.4,113.4,115.4,99.3,102.4,100.8,43.5,59.4,51.3,73.917,54.046
브루나이,13567351175.032,13469422941.392,2.02,1.85,78.3,9.1,76389.0,0.962,22.324,72.106,5.57,65.7,68.4,67.0,104.9,104.9,104.9,91.7,94.3,92.9,25.9,42.0,33.6,,
불가리아,66230155099.578,68558815111.62,1.52,1.56,75.7,11.8,19646.0,0.697,14.679,63.853,21.468,77.6,76.3,77.0,89.6,89.1,89.3,99.5,96.8,98.2,63.7,78.8,71.0,61.865,49.113
부르키나파소,16059910870.624,15990803569.996,5.65,5.23,30.6,1.6,1705.0,2.823,44.37,53.219,2.411,3.7,3.7,3.7,94.4,92.9,93.7,38.6,37.6,38.1,7.9,4.1,6.0,,
부룬디,3036937141.271,3012308945.627,5.95,5.45,13.7,3.1,660.0,3.076,45.252,52.368,2.38,13.9,14.2,14.0,122.9,124.8,123.9,48.1,50.4,49.3,8.4,3.8,6.1,,
캄보디아,24571753583.504,27089389786.968,2.7,2.52,24.2,4.8,3597.0,1.4,30.925,64.222,4.853,21.2,22.0,21.6,109.1,106.5,107.8,,,,14.1,12.2,13.1,,
카메룬,38694156862.992,39007354359.28,4.95,4.6,57.6,6.3,3291.0,2.554,42.064,55.22,2.716,35.6,36.2,35.9,116.0,104.5,110.3,,,,14.1,11.4,12.8,80.995,70.937
캐나다,1721822141487.59,1741576393905.98,1.6,1.53,81.6,13.3,43602.0,1.09,15.775,66.12,18.104,,,,101.1,100.8,100.9,113.0,114.5,113.8,59.1,79.3,68.9,69.173,60.673
카보베르데,1966983316.326,1981845740.706,2.5,2.29,66.7,6.2,6513.0,1.094,28.082,67.133,4.786,72.7,74.4,73.5,106.8,99.7,103.3,88.3,97.0,92.6,19.6,29.3,24.4,,
케이맨제도,5522625585.023,5935769350.774,,,100.0,,,1.182,,,,,,,,,,,,,,,,,
중앙아프리카공화국,2220979144.52,2220307318.749,5.1,4.75,42.2,4.3,777.0,1.767,43.542,53.66,2.798,2.9,3.0,2.9,,,,20.5,13.8,17.1,,,,,
차드,11239167048.492,11314951342.781,6.31,5.8,23.5,2.4,1716.0,2.959,46.49,51.011,2.499,,,,,,,,,,,,,,
칠레,297571693064.212,279385487344.526,1.85,1.65,87.7,10.4,21972.0,0.863,19.239,68.519,12.243,82.5,81.0,81.8,102.9,99.9,101.4,101.6,102.0,101.8,82.5,94.7,88.5,74.067,51.966
중국,13894817549380.3,14279937467431.0,1.64,1.69,61.4,7.9,16127.0,0.314,17.712,70.32,11.968,84.5,85.1,84.8,99.0,99.9,99.4,,,,44.7,54.0,49.1,74.836,59.842
홍콩,361691522612.745,363016373358.517,1.2,1.33,100.0,12.0,60221.0,0.342,12.672,69.131,18.197,105.3,111.4,108.2,105.7,110.1,107.8,106.9,103.7,105.3,70.3,78.5,74.3,67.041,53.658
