국가,2018;국내총생산(GDP $),2019;국내총생산(GDP $),합계출산;2015,합계출산;2020,도시화율;2020,평균교육기간(년);2018,1인당 GNI(구매력환산기준 2011) (달러);2018,2020;연간 인구증가율,2020;0~14세 인구 구성비,2020;15~64세 인구 구성비,2020;65세이상 인구 구성비,ISO(2자리),sub-region
아프가니스탄,18353881129.525 (US$),19291104007.614 (US$),5.45,4.56,26.0,3.9,"1,746",2.304 (annual %),41.823 (% of total),55.528 (% of total),2.649 (% of total),AF,Southern Asia
알바니아,15147020535.387 (US$),15286612572.690 (US$),1.71,1.62,62.1,10.1,"12,300",-0.578 (annual %),17.236 (% of total),68.060 (% of total),14.705 (% of total),AL,Southern Europe
알제리,175414987760.927 (US$),171157803367.473 (US$),2.96,3.05,73.7,8.0,"13,639",1.837 (annual %),30.784 (% of total),62.474 (% of total),6.743 (% of total),DZ,Northern Africa
미국령사모아,641000000.000 (US$),638000000.000 (US$),,,,,,-0.208 (annual %),,,,,
안도라,3218316013.226 (US$),3155065487.518 (US$),,,87.9,10.2,"48,641",0.154 (annual %),,,,AD,Southern Europe
앙골라,101353230784.594 (US$),89417190341.253 (US$),6.0,5.55,66.8,5.1,"5,555",3.219 (annual %),46.395 (% of total),51.413 (% of total),2.191 (% of total),AO,Sub-Saharan Africa
앤티가바부다,1605351851.852 (US$),1661962962.963 (US$),2.0,2.0,24.4,9.3,"22,201",0.834 (annual %),21.851 (% of total),68.817 (% of total),9.332 (% of total),AG,Latin America and the Caribbean
아르헨티나,517626700412.885 (US$),445445177459.453 (US$),2.33,2.27,92.1,10.6,"17,611",0.970 (annual %),24.435 (% of total),64.198 (% of total),11.367 (% of total),AR,Latin America and the Caribbean
아르메니아,12457941907.033 (US$),13672802157.832 (US$),1.72,1.76,63.3,11.8,"9,277",0.186 (annual %),20.832 (% of total),67.365 (% of total),11.803 (% of total),AM,Western Asia
아루바,3202188606.929 (US$),,1.8,1.9,,,,0.428 (annual %),17.382 (% of total),68.012 (% of total),14.606 (% of total),AW,Latin America and the Caribbean
오스트레일리아,1432881172002.170 (US$),1396567014733.230 (US$),1.89,1.83,86.2,12.7,"44,097",1.259 (annual %),19.292 (% of total),64.495 (% of total),16.213 (% of total),AU,Australia and New Zealand
오스트리아,455094861902.062 (US$),445075391688.156 (US$),1.45,1.53,58.7,12.6,"46,231",0.419 (annual %),14.412 (% of total),66.384 (% of total),19.204 (% of total),AT,Western Europe
아제르바이잔,47112941176.471 (US$),48174235294.118 (US$),2.09,2.08,56.4,10.5,"15,240",0.853 (annual %),23.515 (% of total),69.743 (% of total),6.742 (% of total),AZ,Western Asia
바하마,13022100000.000 (US$),13578800000.000 (US$),1.81,1.76,83.2,11.5,"28,395",0.961 (annual %),21.601 (% of total),70.651 (% of total),7.748 (% of total),BS,Latin America and the Caribbean
바레인,37652500000.000 (US$),38474521276.596 (US$),2.12,2.0,89.5,9.4,"40,399",3.615 (annual %),18.282 (% of total),79.066 (% of total),2.651 (% of total),BH,Western Asia
방글라데시,274038973437.275 (US$),302563398919.928 (US$),2.21,2.05,38.2,6.1,"4,057",1.003 (annual %),26.755 (% of total),68.018 (% of total),5.227 (% of total),BD,Southern Asia
바베이도스,5086500000.000 (US$),5209000000.000 (US$),1.63,1.62,31.2,10.6,"15,912",0.122 (annual %),16.760 (% of total),66.537 (% of total),16.702 (% of total),BB,Latin America and the Caribbean
벨라루스,60031262269.337 (US$),64409647193.804 (US$),1.65,1.71,79.5,12.3,"17,039",-0.202 (annual %),17.240 (% of total),67.179 (% of total),15.580 (% of total),BY,Eastern Europe
벨기에,543676145773.882 (US$),533254518108.234 (US$),1.78,1.71,98.1,11.8,"43,821",0.582 (annual %),17.034 (% of total),63.712 (% of total),19.254 (% of total),BE,Western Europe
벨리즈,1915899786.964 (US$),1982518540.613 (US$),2.58,2.32,46.0,9.8,"7,136",1.845 (annual %),29.199 (% of total),65.792 (% of total),5.008 (% of total),BZ,Latin America and the Caribbean
베냉,14250987026.053 (US$),14391686309.033 (US$),5.22,4.87,48.4,3.8,"2,135",2.692 (annual %),41.945 (% of total),54.777 (% of total),3.278 (% of total),BJ,Sub-Saharan Africa
버뮤다,7224329000.000 (US$),7484113000.000 (US$),,,100.0,,,-0.016 (annual %),,,,BM,Northern America
부탄,2446866404.931 (US$),2530547157.567 (US$),2.12,2.0,42.3,3.1,"8,609",1.110 (annual %),24.895 (% of total),68.901 (% of total),6.205 (% of total),BT,Southern Asia
볼리비아,40287647930.536 (US$),40895322850.941 (US$),3.05,2.75,70.1,9.0,"6,849",1.380 (annual %),30.203 (% of total),62.310 (% of total),7.487 (% of total),BO,Latin America and the Caribbean
보스니아-헤르체고비나,20183510561.255 (US$),20202479537.519 (US$),,,49.0,9.7,"12,690",-0.613 (annual %),14.522 (% of total),67.562 (% of total),17.916 (% of total),,
보츠와나,18663265549.020 (US$),18362348887.587 (US$),3.01,2.89,70.9,9.3,"15,951",2.059 (annual %),33.404 (% of total),62.084 (% of total),4.512 (% of total),BW,Sub-Saharan Africa
브라질,1916947014067.550 (US$),1877810514260.360 (US$),1.77,1.74,87.1,7.8,"14,068",0.713 (annual %),20.709 (% of total),69.699 (% of total),9.592 (% of total),BR,Latin America and the Caribbean
브루나이,13567351175.032 (US$),13469422941.392 (US$),2.02,1.85,78.3,9.1,"76,389",0.962 (annual %),22.324 (% of total),72.106 (% of total),5.570 (% of total),BN,South-eastern Asia
불가리아,66230155099.578 (US$),68558815111.620 (US$),1.52,1.56,75.7,11.8,"19,646",-0.697 (annual %),14.679 (% of total),63.853 (% of total),21.468 (% of total),BG,Eastern Europe
부르키나파소,16059910870.624 (US$),15990803569.996 (US$),5.65,5.23,30.6,1.6,"1,705",2.823 (annual %),44.370 (% of total),53.219 (% of total),2.411 (% of total),BF,Sub-Saharan Africa
