"국가별",2015,2016,2017,2018,2019,2020
"세계",53.9,54.4,54.8,55.3,55.7,56.2
"아시아",,,,,,
"한국",81.6,81.6,81.5,81.5,81.4,81.4
"아프가니스탄",24.8,25.0,25.3,25.5,25.8,26.0
"아르메니아",63.1,63.1,63.1,63.1,63.2,63.3
"아제르바이잔",54.7,55.0,55.3,55.7,56.0,56.4
"바레인",89.0,89.1,89.2,89.3,89.4,89.5
"방글라데시",34.3,35.1,35.9,36.6,37.4,38.2
"부탄",38.7,39.4,40.2,40.9,41.6,42.3
"브루나이",76.7,77.0,77.3,77.6,77.9,78.3
"캄보디아",22.2,22.6,23.0,23.4,23.8,24.2
"중국",55.5,56.7,58.0,59.2,60.3,61.4
"키프로스",66.9,66.9,66.8,66.8,66.8,66.8
"동티모르",29.5,29.9,30.2,30.6,30.9,31.3
"조지아",57.4,57.8,58.2,58.6,59.0,59.5
"홍콩",100.0,100.0,100.0,100.0,100.0,100.0
"인도",32.8,33.2,33.6,34.0,34.5,34.9
"인도네시아",53.3,54.0,54.7,55.3,56.0,56.6
"이란",73.4,73.9,74.4,74.9,75.4,75.9
"이라크",69.9,70.1,70.3,70.5,70.7,70.9
"이스라엘",92.2,92.3,92.3,92.4,92.5,92.6
"일본",91.4,91.5,91.5,91.6,91.7,91.8
"요르단",90.3,90.5,90.7,91.0,91.2,91.4
"카자흐스탄",57.2,57.3,57.3,57.4,57.5,57.7
"북한",61.3,61.5,61.7,61.9,62.1,62.4
"쿠웨이트",100.0,100.0,100.0,100.0,100.0,100.0
"키르기스스탄",35.8,35.9,36.1,36.4,36.6,36.9
"라오스",33.1,33.7,34.4,35.0,35.6,36.3
"레바논",88.1,88.3,88.4,88.6,88.8,88.9
"마카오",100.0,100.0,100.0,100.0,100.0,100.0
"말레이시아",74.2,74.8,75.4,76.0,76.6,77.2
"몰디브",38.5,39.0,39.4,39.8,40.2,40.7
"몽골",68.2,68.3,68.4,68.4,68.5,68.7
"미얀마",29.9,30.1,30.3,30.6,30.9,31.1
"네팔",18.6,18.9,19.3,19.7,20.2,20.6
"오만",81.4,82.5,83.6,84.5,85.4,86.3
"파키스탄",36.0,36.2,36.4,36.7,36.9,37.2
"필리핀",46.3,46.5,46.7,46.9,47.1,47.4
"카타르",98.9,99.0,99.1,99.1,99.2,99.2
"사우디아라비아",83.2,83.4,83.6,83.8,84.1,84.3
"싱가포르",100.0,100.0,100.0,100.0,100.0,100.0
"스리랑카",18.3,18.3,18.4,18.5,18.6,18.7
"시리아",52.2,52.8,53.5,54.2,54.8,55.5
