국가별,2020,2020,2020,2020
국가별,연간 인구증가율,0~14세 인구 구성비,15~64세 인구 구성비,65세이상 인구 구성비
아프가니스탄,2.304 (annual %),41.823 (% of total),55.528 (% of total),2.649 (% of total)
알바니아,-0.578 (annual %),17.236 (% of total),68.060 (% of total),14.705 (% of total)
알제리,1.837 (annual %),30.784 (% of total),62.474 (% of total),6.743 (% of total)
미국령사모아,-0.208 (annual %),-,-,-
안도라,0.154 (annual %),-,-,-
앙골라,3.219 (annual %),46.395 (% of total),51.413 (% of total),2.191 (% of total)
앤티가바부다,0.834 (annual %),21.851 (% of total),68.817 (% of total),9.332 (% of total)
아르헨티나,0.970 (annual %),24.435 (% of total),64.198 (% of total),11.367 (% of total)
아르메니아,0.186 (annual %),20.832 (% of total),67.365 (% of total),11.803 (% of total)
아루바,0.428 (annual %),17.382 (% of total),68.012 (% of total),14.606 (% of total)
오스트레일리아,1.259 (annual %),19.292 (% of total),64.495 (% of total),16.213 (% of total)
오스트리아,0.419 (annual %),14.412 (% of total),66.384 (% of total),19.204 (% of total)
아제르바이잔,0.853 (annual %),23.515 (% of total),69.743 (% of total),6.742 (% of total)
바하마,0.961 (annual %),21.601 (% of total),70.651 (% of total),7.748 (% of total)
바레인,3.615 (annual %),18.282 (% of total),79.066 (% of total),2.651 (% of total)
방글라데시,1.003 (annual %),26.755 (% of total),68.018 (% of total),5.227 (% of total)
바베이도스,0.122 (annual %),16.760 (% of total),66.537 (% of total),16.702 (% of total)
벨라루스,-0.202 (annual %),17.240 (% of total),67.179 (% of total),15.580 (% of total)
벨기에,0.582 (annual %),17.034 (% of total),63.712 (% of total),19.254 (% of total)
벨리즈,1.845 (annual %),29.199 (% of total),65.792 (% of total),5.008 (% of total)
베냉,2.692 (annual %),41.945 (% of total),54.777 (% of total),3.278 (% of total)
버뮤다,-0.016 (annual %),-,-,-
부탄,1.110 (annual %),24.895 (% of total),68.901 (% of total),6.205 (% of total)
볼리비아,1.380 (annual %),30.203 (% of total),62.310 (% of total),7.487 (% of total)
보스니아-헤르체고비나,-0.613 (annual %),14.522 (% of total),67.562 (% of total),17.916 (% of total)
보츠와나,2.059 (annual %),33.404 (% of total),62.084 (% of total),4.512 (% of total)
브라질,0.713 (annual %),20.709 (% of total),69.699 (% of total),9.592 (% of total)
브루나이,0.962 (annual %),22.324 (% of total),72.106 (% of total),5.570 (% of total)
