경제활동참여율;대륙,경제활동참여율;국가,경제활동참여율;2020
아시아,한국,73.089
,아제르바이잔,69.252
,바레인,87.179
,중국,74.836
,키프로스,68.022
,조지아,80.871
,홍콩,67.041
,인도,76.009
,인도네시아,81.766
,이란,71.096
,이라크,74.282
,이스라엘,68.466
,일본,71.008
,요르단,63.506
,카자흐스탄,75.062
,북한,87.719
,쿠웨이트,87.3
,키르기스스탄,75.652
,레바논,71.279
,말레이시아,77.169
,오만,90.39
,파키스탄,81.715
,필리핀,73.239
,카타르,95.126
,사우디아라비아,78.672
,싱가포르,78.151
,스리랑카,74.302
,시리아,74.042
,타이,75.793
,터키,72.411
,투르크메니스탄,78.238
,아랍에미리트,93.552
,우즈베키스탄,78.078
,베트남,82.184
,예멘,70.241
북아메리카,캐나다,69.173
,멕시코,78.328
,미국,67.917
남아메리카,아르헨티나,72.652
,바하마,81.544
,바베이도스,68.707
,볼리비아,80.423
,브라질,73.917
,칠레,74.067
,콜롬비아,80.951
,코스타리카,75.931
,쿠바,66.696
,에콰도르,80.997
,엘살바도르,75.853
,과테말라,86.365
,온두라스,85.828
,자메이카,72.578
,니카라과,84.164
,파나마,79.816
,파라과이,84.536
,페루,85.463
,수리남,63.371
,트리니다드토바고,69.632
,우루과이,73.392
,베네수엘라,74.282
유럽,알바니아,64.392
,오스트리아,66.422
,벨라루스,71.331
,벨기에,58.425
,보스니아-헤르체고비나,57.719
,불가리아,61.865
,크로아티아,57.16
,체코,68.205
,덴마크,66.184
,에스토니아,70.692
,핀란드,62.528
,프랑스,59.593
,독일,66.467
,그리스,59.299
,헝가리,65.335
,아일랜드,67.935
,이탈리아,58.711
,라트비아,67.864
,리투아니아,67.574
,룩셈부르크,63.728
,몰타,66.773
,몰도바,45.773
,네덜란드,68.743
,노르웨이,66.987
,폴란드,65.065
,포르투갈,63.639
,루마니아,64.396
,러시아,69.757
,슬로바키아,67.076
,슬로베니아,62.779
,스페인,62.971
,스웨덴,67.728
,스위스,73.478
,우크라이나,62.802
,영국,68.045
,몬테네그로,62.72
,세르비아,62.592
아프리카,알제리,67.034
,앙골라,78.831
,베냉,72.992
,카메룬,80.995
,콩고,71.218
,이집트,70.883
,에리트레아,85.337
,에티오피아,85.762
,가봉,61.909
,가나,71.831
,케냐,77.528
,라이베리아,80.589
,리비아,65.254
,마다가스카르,89.006
,모로코,69.908
,나이지리아,57.755
,세네갈,57.45
,남아프리카공화국,62.646
,수단,68.125
,탄자니아,87.239
,토고,78.921
,튀니지,69.152
,잠비아,78.972
오세아니아,오스트레일리아,70.651
,피지,76.236
,뉴질랜드,75.21
,파푸아뉴기니,47.905
