국가,2018,2019
국가,국내총생산(GDP $),국내총생산(GDP $)
아프가니스탄,18353881129.525 (US$),19291104007.614 (US$)
알바니아,15147020535.387 (US$),15286612572.690 (US$)
알제리,175414987760.927 (US$),171157803367.473 (US$)
미국령사모아,641000000.000 (US$),638000000.000 (US$)
안도라,3218316013.226 (US$),3155065487.518 (US$)
앙골라,101353230784.594 (US$),89417190341.253 (US$)
앤티가바부다,1605351851.852 (US$),1661962962.963 (US$)
아르헨티나,517626700412.885 (US$),445445177459.453 (US$)
아르메니아,12457941907.033 (US$),13672802157.832 (US$)
아루바,3202188606.929 (US$),-
오스트레일리아,1432881172002.170 (US$),1396567014733.230 (US$)
오스트리아,455094861902.062 (US$),445075391688.156 (US$)
아제르바이잔,47112941176.471 (US$),48174235294.118 (US$)
바하마,13022100000.000 (US$),13578800000.000 (US$)
바레인,37652500000.000 (US$),38474521276.596 (US$)
방글라데시,274038973437.275 (US$),302563398919.928 (US$)
바베이도스,5086500000.000 (US$),5209000000.000 (US$)
벨라루스,60031262269.337 (US$),64409647193.804 (US$)
벨기에,543676145773.882 (US$),533254518108.234 (US$)
벨리즈,1915899786.964 (US$),1982518540.613 (US$)
베냉,14250987026.053 (US$),14391686309.033 (US$)
버뮤다,7224329000.000 (US$),7484113000.000 (US$)
부탄,2446866404.931 (US$),2530547157.567 (US$)
볼리비아,40287647930.536 (US$),40895322850.941 (US$)
보스니아-헤르체고비나,20183510561.255 (US$),20202479537.519 (US$)
보츠와나,18663265549.020 (US$),18362348887.587 (US$)
브라질,1916947014067.550 (US$),1877810514260.360 (US$)
브루나이,13567351175.032 (US$),13469422941.392 (US$)
불가리아,66230155099.578 (US$),68558815111.620 (US$)
부르키나파소,16059910870.624 (US$),15990803569.996 (US$)
부룬디,3036937141.271 (US$),3012308945.627 (US$)
캄보디아,24571753583.504 (US$),27089389786.968 (US$)
카메룬,38694156862.992 (US$),39007354359.280 (US$)
캐나다,1721822141487.590 (US$),1741576393905.980 (US$)
카보베르데,1966983316.326 (US$),1981845740.706 (US$)
