국가별,평균교육기간(년),1인당 GNI(구매력환산기준 2011) (달러)
국가별,2018,2018
세계,8.4,"15,745"
아시아,,
　　　한국,12.2,"36,757"
　　　아프가니스탄,3.9,"1,746"
　　　아르메니아,11.8,"9,277"
　　　아제르바이잔,10.5,"15,240"
　　　바레인,9.4,"40,399"
　　　방글라데시,6.1,"4,057"
　　　부탄,3.1,"8,609"
　　　브루나이,9.1,"76,389"
　　　캄보디아,4.8,"3,597"
　　　중국,7.9,"16,127"
　　　키프로스,12.1,"33,100"
　　　동티모르,4.5,"7,527"
　　　조지아,12.8,"9,570"
　　　홍콩,12,"60,221"
　　　인도,6.5,"6,829"
　　　인도네시아,8,"11,256"
　　　이란,10,"18,166"
　　　이라크,7.3,"15,365"
　　　이스라엘,13,"33,650"
　　　일본,12.8,"40,799"
　　　요르단,10.5,"8,268"
　　　카자흐스탄,11.8,"22,168"
　　　북한,-,-
　　　쿠웨이트,7.3,"71,164"
　　　키르기스스탄,10.9,"3,317"
　　　라오스,5.2,"6,317"
　　　레바논,8.7,"11,136"
　　　말레이시아,10.2,"27,227"
　　　몰디브,6.8,"12,549"
　　　몽골,10.2,"10,784"
　　　미얀마,5,"5,764"
　　　네팔,4.9,"2,748"
　　　오만,9.7,"37,039"
　　　파키스탄,5.2,"5,190"
　　　필리핀,9.4,"9,540"
　　　카타르,9.7,"110,489"
　　　사우디아라비아,9.7,"49,338"
　　　싱가포르,11.5,"83,793"
　　　스리랑카,11.1,"11,611"
　　　시리아,5.1,"2,725"
　　　타지키스탄,10.7,"3,482"
　　　태국,7.7,"16,129"
　　　터키,7.7,"24,905"
　　　투르크메니스탄,9.8,"16,407"
　　　아랍에미리트,11,"66,912"
　　　우즈베키스탄,11.5,"6,462"
　　　베트남,8.2,"6,220"
　　　예멘,3.2,"1,433"
북아메리카,,
　　　캐나다,13.3,"43,602"
　　　멕시코,8.6,"17,628"
　　　미국,13.4,"56,140"
남아메리카,,
　　　앤티가바부다,9.3,"22,201"
　　　아르헨티나,10.6,"17,611"
　　　바하마,11.5,"28,395"
　　　바베이도스,10.6,"15,912"
　　　벨리즈,9.8,"7,136"
　　　볼리비아,9,"6,849"
