"국가별",2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
"국가별",연간 인구증가율,0~14세 인구 구성비,15~64세 인구 구성비,65세이상 인구 구성비,연간 인구증가율,0~14세 인구 구성비,15~64세 인구 구성비,65세이상 인구 구성비,연간 인구증가율,0~14세 인구 구성비,15~64세 인구 구성비,65세이상 인구 구성비
"아프가니스탄",2.384 (annual %),43.090 (% of total),54.325 (% of total),2.585 (% of total),2.313 (annual %),42.472 (% of total),54.912 (% of total),2.616 (% of total),2.304 (annual %),41.823 (% of total),55.528 (% of total),2.649 (% of total)
"알바니아",-0.247 (annual %),17.673 (% of total),68.582 (% of total),13.745 (% of total),-0.426 (annual %),17.400 (% of total),68.398 (% of total),14.203 (% of total),-0.578 (annual %),17.236 (% of total),68.060 (% of total),14.705 (% of total)
"알제리",2.007 (annual %),30.149 (% of total),63.489 (% of total),6.363 (% of total),1.934 (annual %),30.550 (% of total),62.897 (% of total),6.553 (% of total),1.837 (annual %),30.784 (% of total),62.474 (% of total),6.743 (% of total)
"미국령사모아",-0.281 (annual %),-,-,-,-0.269 (annual %),-,-,-,-0.208 (annual %),-,-,-
"안도라",0.014 (annual %),-,-,-,0.179 (annual %),-,-,-,0.154 (annual %),-,-,-
"앙골라",3.276 (annual %),46.809 (% of total),50.975 (% of total),2.216 (% of total),3.243 (annual %),46.622 (% of total),51.179 (% of total),2.199 (% of total),3.219 (annual %),46.395 (% of total),51.413 (% of total),2.191 (% of total)
"앤티가바부다",0.894 (annual %),22.081 (% of total),69.119 (% of total),8.800 (% of total),0.861 (annual %),21.955 (% of total),68.990 (% of total),9.055 (% of total),0.834 (annual %),21.851 (% of total),68.817 (% of total),9.332 (% of total)
"아르헨티나",1.016 (annual %),24.761 (% of total),64.121 (% of total),11.118 (% of total),0.993 (annual %),24.596 (% of total),64.161 (% of total),11.243 (% of total),0.970 (annual %),24.435 (% of total),64.198 (% of total),11.367 (% of total)
"아르메니아",0.236 (annual %),20.633 (% of total),68.113 (% of total),11.254 (% of total),0.203 (annual %),20.766 (% of total),67.750 (% of total),11.484 (% of total),0.186 (annual %),20.832 (% of total),67.365 (% of total),11.803 (% of total)
"아루바",0.459 (annual %),17.802 (% of total),68.647 (% of total),13.551 (% of total),0.437 (annual %),17.620 (% of total),68.321 (% of total),14.058 (% of total),0.428 (annual %),17.382 (% of total),68.012 (% of total),14.606 (% of total)
"오스트레일리아",1.536 (annual %),19.191 (% of total),65.153 (% of total),15.656 (% of total),1.522 (annual %),19.275 (% of total),64.803 (% of total),15.921 (% of total),1.259 (annual %),19.292 (% of total),64.495 (% of total),16.213 (% of total)
"오스트리아",0.487 (annual %),14.298 (% of total),66.700 (% of total),19.002 (% of total),0.445 (annual %),14.362 (% of total),66.563 (% of total),19.076 (% of total),0.419 (annual %),14.412 (% of total),66.384 (% of total),19.204 (% of total)
